file_name,extracted_field_mT
scan_475_41_0172mT.txt,41.0172
scan_476_43_5652mT.txt,43.5652
scan_477_46_2942mT.txt,46.2942
scan_478_49_086mT.txt,49.086
scan_479_51_8516mT.txt,51.8516
scan_480_54_5123mT.txt,54.5123
scan_481_56_9773mT.txt,56.9773
scan_482_59_1413mT.txt,59.1413
scan_483_60_912mT.txt,60.912
scan_484_62_245mT.txt,62.245
scan_485_63_1561mT.txt,63.1561
scan_486_63_7122mT.txt,63.7122
scan_487_64_0157mT.txt,64.0157
scan_488_64_1924mT.txt,64.1924
scan_489_64_3793mT.txt,64.3793
scan_490_64_7065mT.txt,64.7065
scan_491_65_2731mT.txt,65.2731
scan_492_66_1183mT.txt,66.1183
scan_493_67_1952mT.txt,67.1952
scan_494_68_3542mT.txt,68.3542
scan_495_69_3487mT.txt,69.3487
scan_496_69_8849mT.txt,69.8849
scan_497_69_7129mT.txt,69.7129
scan_498_68_7177mT.txt,68.7177
scan_499_66_9545mT.txt,66.9545
scan_500_64_607mT.txt,64.607
